siteid,sitename,Gage_Statu,operator,datasource,sitestatus,stage_yn,stage_por,stage_stat,stage_real,flow_yn,flow_por,flow_statu,flow_realt,watqual_yn,watqual_po,watqual_st,watqual_re,temp_yn,temp_por,temp_statu,temp_realt,strmorder,ucdstrmcla,streamtype,totdasqkm,totdasqmi,weblink,gnisid_med,rchcd_medr,comid_medr,wtrshdnm_h,huc8,wtrshdnm_1,huc10,wtrshdnm_2,huc12,GageGap_St,Reactivate,Gage_Histo,AddFlow_2s,AddFlow_2W,AddTelemet,AddTemp_2F,Infrastruc,waterbody,Tier,Primary_Be,SB19_Actio,CNRFC,reference_,refpotenti,ecosysmgmt,wtrsupply,wtrquality,pubsafety,geometry,siteid_str
BDL,BELDON LANDING,Active-Limited Use,DWR,CDEC,Active,Y,11788,Active,Y,N,0,,N,Y,7090,Active,Y,Y,4691,Active,Y,4,Rain and seasonal groundwater (RGW),Artificial Path,119.862,46.27895792,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BDL,234323,18050001001540,2788329,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,180500010401,AWG,N,0,Y,Y,N,N,,,0,multi-benefit,High Priority - Keep Gage Active,,,,B,,B,,POINT (-172431.64130000025 20673.06829999946),BDL
BEN,MOKELUMNE R @ BENSON'S FERRY NR THORNTON,Active-Limited Use,DWR,CDEC,Active,Y,13514,Active,Y,N,0,,N,N,0,,N,N,0,,N,6,Rain and seasonal groundwater (RGW),Stream/River - Perennial,5162.5836,1993.28385313,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BEN,228902,18040012024724,1889500,Upper Mokelumne,18040012,Lower Mokelumne River,1804001211,Murphy Creek-Mokelumne River,180400121102,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,Forecast,,,,B,,Y,POINT (-125844.02519999817 27557.292199999094),BEN
BLL,BLACKLOCK (NE1),Active-Limited Use,DWR,CDEC,Active,Y,5837,Active,Y,N,0,,N,Y,5837,Active,Y,Y,5837,Active,Y,3,Rain and seasonal groundwater (RGW),Artificial Path,17.4528,6.73856099,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLL,,18050001000968,2794699,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,180500010401,AWG,N,0,Y,Y,N,N,,,0,multi-benefit,High Priority - Keep Gage Active,,,,B,,B,,POINT (-166800.52040000074 19945.504000000656),BLL
BOC,BOCA RESERVOIR,Active-High Quality,OTHER,CDEC,Active,Y,3203,Inactive,N,Y,5024,Active,Y,N,0,,N,N,0,,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,446.2659,172.30415652,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BOC,266929,16050102000088,8933684,Truckee,16050102,Little Truckee River,1605010201,Boca Reservoir-Little Truckee River,160501020107,WG,N,0,N,N,N,Y,,,0,water quality,High Priority - Add Water Temperature,,,,,,B,,POINT (-8171.456199999899 152182.45610000007),BOC
BPB,BURNEY CK AT PARK AVE AT BURNEY STATION,Active-Limited Use,DWR,CDEC,Active,Y,1039,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,234.7956,90.65505075,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BPB,220202,18020003000187,7952064,Lower Pit,18020003,Burney Creek,1802000309,Town of Burney-Burney Creek,180200030906,AWG,N,0,Y,N,N,Y,,,0,high combined score,High Priority - Add Water Temperature,,,,,Y,,,POINT (-140906.6088999994 318981.40279999934),BPB
BSO,BUTTE SLOUGH AT OUTFALL GATES,Active-Limited Use,DWR,CDEC,Active,Y,8125,Active,Y,Y,4108,Inactive,N,N,0,,N,Y,4923,Inactive,N,5,Rain and seasonal groundwater (RGW),StreamRiver,32028.6798,12366.3373281,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BSO,266522,18020158005067,24688080,Butte Creek,18020158,Lower Butte Creek,1802015804,Drumheller Slough-Butte Creek,180201580404,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,,Y,,,POINT (-167083.9748999998 132701.75329999998),BSO
BTG,BUTTE CK AT COLUSA/GRIDLEY RD,Active-Limited Use,DWR,CDEC,Active,Y,7826,Active,Y,N,0,,N,N,0,,N,Y,4633,Inactive,N,5,Rain and seasonal groundwater (RGW),Stream/River - Perennial,1098.2592,424.04007364,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BTG,266522,18020158005084,1683401,Butte Creek,18020158,Lower Butte Creek,1802015804,Drumheller Slough-Butte Creek,180201580404,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,,Y,,,POINT (-162956.04580000043 151175.34100000001),BTG
BYL,BRYTE LAB,Active-Limited Use,DWR,CDEC,Active,Y,2725,Active,Y,N,0,,N,N,0,,N,N,0,,N,7,High-volume snowmelt and rain (HSR),Artificial Path,53778.4002,20763.947874,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BYL,1654949,18020161003630,15039097,Upper Coon-Upper Auburn,18020161,Curry Creek-Sacramento River,1802016104,Natomas Main Drainage Canal-Sacramento River,180201610402,AWG,N,0,Y,N,N,Y,,,0,water supply,High Priority - Add Water Temperature,,,,,B,,Y,POINT (-134006.3739 66046.56540000066),BYL
CCI,CALLEGUAS CREEK - CSU CHANNEL ISLANDS,Active-High Quality,USGS,NWIS,Active,Y,3256,Active,Y,N,0,,Y,N,0,,N,N,0,,N,5,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,645.9147,249.3889575,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CCI,240043,18070103000004,17562626,Calleguas,18070103,Calleguas Creek,1807010301,Revolon Slough-Calleguas Creek,180701030107,WG,N,0,N,N,N,Y,,,0,cnrfc,High Priority - Add Water Temperature,Forecast,,,,,,,POINT (88461.8834999986 -425805.30649999995),CCI
CCK,CANTUA CREEK NEAR MT WHITNEY AVENUE,Active-Limited Use,DWR,CDEC,Active,Y,8428,Active,Y,N,0,,N,N,0,,N,N,0,,N,1,,Artificial Path,0.0,0.0,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CCK,270163,18030009008056,17152228,Upper Dry,18030009,Cantua Creek-Fresno Slough,1803000906,180300090608-Fresno Slough,180300090608,AWG,N,0,Y,N,N,Y,,,0,high combined score,High Priority - Add Water Temperature,,,,,,,,POINT (-26514.367800001055 -176345.3616000004),CCK
CIS,OLD RIVER AT CONEY ISLAND,Active-Limited Use,DWR,CDEC,Active,Y,6068,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Rain and seasonal groundwater (RGW),Artificial Path,36532.3626,14105.2182646,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CIS,254998,18040003005605,1897540,San Joaquin Delta,18040003,Old River,1804000306,Lower Old River,180400030605,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,,Y,B,,POINT (-135135.2882000003 -17841.862700000405),CIS
CML,CARMEL RIVER NEAR CARMEL,Active-Limited Use,USGS,NWIS,Active,Y,6820,Active,Y,N,0,,N,N,0,,N,Y,2101,Inactive,N,5,Perennial groundwater and rain (PGR),Stream/River - Perennial,640.2672,247.20844645,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CML,270301,18060006006642,17599295,Central Coastal,18060006,Carmel River,1806000601,Potrero Canyon-Carmel River,180600060106,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,,B,,,POINT (-167563.0739999991 -162660.1359000001),CML
CMR,CARMEL RIVER AT HWY 1 BRIDGE,Active-Limited Use,OTHER,CDEC,Active,Y,6303,Active,Y,N,0,,N,N,0,,N,N,0,,N,5,Perennial groundwater and rain (PGR),Stream/River - Perennial,653.3892,252.2748769,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CMR,270301,18060006006640,17600111,Central Coastal,18060006,Carmel River,1806000601,Potrero Canyon-Carmel River,180600060106,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,,B,,,POINT (-170884.40880000032 -162882.1196999997),CMR
CRB,CIRBY CREEK - TINA WAY,Active-Limited Use,OTHER,CDEC,Active,Y,9223,Active,Y,N,0,,N,N,0,,N,N,0,,N,2,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,4876.2711,1882.73802425,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CRB,254744,18020111000177,15022315,Lower American,18020111,Dry Creek,1802011101,Linda Creek-Cirby Creek,180201110104,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (-111021.09050000086 80356.1453000009),CRB
CRD,PETALUMA RIVER NR CORONA ROAD,Active-Limited Use,OTHER,CDEC,Active,Y,8347,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Winter storms (WS),Canal/Ditch,81.2655,31.37677208,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CRD,253749,18050002000977,1669283,San Pablo Bay,18050002,Petaluma River-Frontal San Pablo Bay Estuaries,1805000206,Petaluma River,180500020601,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (-233105.04990000091 30979.44830000028),CRD
CRH,CROSS CK AT HOUSTON,Active-Limited Use,OTHER,CDEC,Active,Y,3998,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Perennial groundwater and rain (PGR),Stream/River - Intermittent,3201.9516,1236.27991666,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CRH,,18030007005967,17153904,Upper Kaweah,18030007,Lower Cross Creek,1803000713,Mosquito Creek-Cross Creek,180300071302,AWG,N,0,Y,N,N,Y,,,3,water supply,Upgrade,,,,,B,,,POINT (42037.463599998504 -187398.35649999976),CRH
CSE,COLLINSVILLE ON SACRAMENTO RIVER,Active-Limited Use,DWR,CDEC,Active,Y,4333,Active,Y,N,0,,N,Y,4333,Active,Y,Y,4333,Active,Y,-9,Rain and seasonal groundwater (RGW),Coastline,6.9048,2.66595709,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CSE,,18020163016498,15048371,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,180500010401,AWG,N,0,Y,Y,N,N,,,0,multi-benefit,High Priority - Keep Gage Active,,,,B,,B,,POINT (-162082.87560000084 8051.997300000861),CSE
CSW,KINGS RIVER BELOW CRESCENT WEIR,Active-Limited Use,OTHER,CDEC,Active,Y,8757,Active,Y,Y,5829,Inactive,N,N,0,,N,N,0,,N,6,High-volume snowmelt and rain (HSR),Stream/River - Perennial,4964.7096,1916.88430598,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CSW,,18030012009243,17153414,Upper Dry,18030009,Murphy Slough-Fresno Slough,1803000901,Boggs Slough-Fresno Slough,180300090101,AWG,N,0,Y,N,N,Y,,,0,high combined score,High Priority - Add Water Temperature,,,,,,,,POINT (11144.740400001407 -181183.79140000045),CSW
CVL,WEST WALKER NR HWY 395 BLW LITTLE WALKER,Active-Limited Use,OTHER,CDEC,Active,Y,7227,Active,Y,N,0,,N,N,0,,N,N,0,,N,5,Snowmelt (SM),Stream/River - Perennial,642.6333,248.1220024,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CVL,268938,16050302000028,946050151,West Walker,16050302,Middle West Walker River,1605030202,East Slough-West Walker River,160503020204,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (47566.89990000054 55644.53810000047),CVL
CWC,COTTONWOOD CK BLW HWY 99,Active-Limited Use,DWR,CDEC,Active,Y,1089,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Winter storms (WS),Stream/River - Perennial,72.1332,27.85077279,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CWC,221635,18020158006126,1679425,Butte Creek,18020158,Lower Butte Creek,1802015804,Cottonwood Creek,180201580402,AWG,N,0,Y,N,N,Y,,,2,multi-benefit,High Priority - Add Water Temperature,,,,,B,,F,POINT (-145104.36790000089 169193.9807999991),CWC
CYG,CYGNUS-CORDELIA SLOUGH,Active-Limited Use,DWR,CDEC,Active,Y,4333,Active,Y,N,0,,N,Y,4333,Active,Y,Y,4333,Active,Y,3,Rain and seasonal groundwater (RGW),Stream/River - Perennial,283.5369,109.47416416,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CYG,,18050001000139,2784883,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,180500010401,AWG,N,0,Y,Y,N,N,,,0,multi-benefit,High Priority - Keep Gage Active,,,,B,,B,,POINT (-182963.6587000005 17190.667700000107),CYG
DBD,DISCOVERY BAY AT DISCOVERY BAY BLVD,Active-Limited Use,DWR,CDEC,Active,Y,5861,Active,Y,N,0,,N,N,0,,N,N,0,,N,0,,Artificial Path,106.0776,0.0,https://sanjoaquin.onerain.com/site.php?site_id=12944&site=514e754d-508b-4fd1-8667-5da1a830bab0,,18040003004196,1893562,San Joaquin Delta,18040003,Kellogg Creek-Big Break,1804000308,Lower Kellogg Creek,180400030802,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,,Y,,,POINT (-140915.01590000093 -12542.373500000685),DBD
DBI,DISCOVERY BAY AT INDIAN SLOUGH,Active-Limited Use,DWR,CDEC,Active,Y,5861,Active,Y,N,0,,N,N,0,,N,N,0,,N,1,Rain and seasonal groundwater (RGW),Artificial Path,0.0738,0.02849433,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DBI,,18040003005674,1897678,San Joaquin Delta,18040003,Kellogg Creek-Big Break,1804000308,Lower Kellogg Creek,180400030802,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,,Y,,,POINT (-139347.4712000005 -9797.769300000742),DBI
DBT,DUTCH BILL CREEK AT WESTMINSTER WOODS,Active-Limited Use,OTHER,CDEC,Active,Y,1767,Active,Y,N,0,,N,N,0,,N,N,0,,N,2,Winter storms (WS),Stream/River - Perennial,28.2699,10.91506493,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DBT,222756,18010110000392,8273255,Russian,18010110,Lower Russian River,1801011009,Dutch Bill Creek-Russian River,180101100903,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,B,,B,,POINT (-261505.06829999946 52390.07850000076),DBT
DCD,DUCK CK DIVERSION,Active-High Quality,OTHER,CDEC,Active,Y,3998,Active,Y,Y,3998,Active,Y,N,0,,N,N,0,,N,3,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,74.7369,28.85606656,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DCD,222679,18040051003387,2822808,Rock Creek-French Camp Slough,18040051,French Camp Slough,1804005104,Lower Duck Creek,180400510402,WG,N,0,N,N,N,Y,Y,,0,water supply,High Priority - Add Water Temperature,,,,,B,,,POINT (-86891.67669999972 -8224.314600000158),DCD
DCW,DRY CREEK NEAR WHEATLAND,Active-Limited Use,USGS,NWIS,Active,Y,5358,Active,Y,N,0,,N,N,0,,N,N,0,,N,2,Winter storms (WS),Stream/River - Intermittent,25.1451,9.7085734,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DCW,,18020126004891,15069314,Upper Bear,18020126,Dry Creek,1802012604,Grasshopper Slough-Dry Creek,180201260403,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,,B,,,POINT (-124214.63019999862 112936.1417999994),DCW
DFR,DRY CK AT FIELDS RD,Active-Limited Use,OTHER,CDEC,Active,Y,1185,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,53.3763,20.60869618,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DFR,,18040008039279,2824102,Upper Merced,18040008,Dry Creek,1804000807,Upper Dry Creek,180400080701,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (-34338.92740000039 -48612.7089000009),DFR
DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,Active-Limited Use,DWR,CDEC,Active,Y,7197,Active,Y,N,0,,N,Y,6610,Active,Y,Y,5349,Active,Y,0,,Artificial Path,36295.7868,0.0,https://sanjoaquin.onerain.com/site.php?site_id=12948&site=7627ea95-89a5-4223-97c4-53cb2df521ee,,18040003004603,1894580,San Joaquin Delta,18040003,Old River,1804000306,Lower Old River,180400030605,AWG,N,0,Y,Y,N,N,,,0,multi-benefit,High Priority - Keep Gage Active,,,,Y,Y,B,,POINT (-125244.66959999874 -21418.246899999678),DGL
DM3,CHECK 21,Infrastructure_Eliminate,OTHER,CDEC,Active,Y,3775,Inactive,N,N,0,,N,Y,9680,Active,Y,Y,7979,Active,Y,0,,Canal/Ditch,0.0,0.0,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DM3,233778,18040001001691,19784447,Middle San Joaquin-Lower Chowchilla,18040001,Salt Slough,1804000120,Upper Poso Slough,180400012001,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (-33195.05110000074 -137284.3476999998),DM3
DOT,DOOLEY CK AT OLD TOLL RD NR HOPLAND,Active-Limited Use,OTHER,CDEC,Active,Y,1569,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Perennial groundwater and rain (PGR),Stream/River - Intermittent,34.047,13.14561479,https://sonoma.onerain.com/site.php?site_id=97&site=ed7c1b8c-e887-4261-b2ab-0049afb972aa,,18010110000731,8270445,Russian,18010110,Upper Russian River,1801011004,Dooley Creek,180101100406,AWG,N,0,Y,N,N,Y,,,0,high combined score,High Priority - Add Water Temperature,,,,,,,,POINT (-265701.1344000008 110987.18090000004),DOT
DRF,SMITH RIVER AT DR FINE BRIDGE,Active-Limited Use,DWR,CDEC,Active,Y,13514,Active,Y,N,0,,N,N,0,,N,N,0,,N,1,Winter storms (WS),Stream/River - Perennial,1.3932,0.53791731,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DRF,225810,18010101000309,22227026,Smith,18010101,Smith River,1801010104,Smith River,180101010404,AWG,N,0,Y,N,N,Y,,,0,ecosystem,High Priority - Add Water Temperature,,,,B,,,F,POINT (-343396.3471000008 436770.11700000055),DRF
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,Active-High Quality,USGS,NWIS,Active,Y,6307,Active,Y,Y,6307,Active,Y,Y,4040,Active,Y,Y,4040,Active,Y,2,Rain and seasonal groundwater (RGW),Artificial Path,37115.7174,14330.4527196,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DSJ,,18040003005513,1889676,San Joaquin Delta,18040003,Kellogg Creek-Big Break,1804000308,Dutch Slough-Big Break,180400030803,WG,N,0,N,N,N,N,,,0,multi-benefit,High Priority - Keep Gage Active,,,,,B,B,,POINT (-146507.42569999956 901.3400999996811),DSJ
DSR,JT14 DOYLE SPRINGS DIVERSION,Active-Limited Use,OTHER,CDEC,Active,Y,3263,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,87.9831,33.97045088,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DSR,272671,18030006000213,14930291,Upper Tule,18030006,Middle Fork Tule River,1803000601,North Fork Middle Fork Tule River,180300060102,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (119817.36039999872 -202263.68040000089),DSR
DTW,DEER CK AT TRENTON WEIR,Active-Limited Use,OTHER,CDEC,Active,Y,4262,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,486.1152,187.69005095,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DTW,270802,18030005005227,948030244,Upper Deer-Upper White,18030005,Lower Deer Creek,1803000509,Town of Ducor-Deer Creek,180300050902,AWG,N,0,Y,N,N,Y,,,0,high combined score,High Priority - Add Water Temperature,,,,,,,,POINT (73802.70499999821 -229761.8816999998),DTW
EDA,LOS GATOS CREEK AT EL DORADO AVENUE,Active-Limited Use,DWR,CDEC,Active,Y,10919,Active,Y,N,0,,N,N,0,,N,N,0,,N,5,Perennial groundwater and rain (PGR),Stream/River - Intermittent,985.7664,380.60637857,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EDA,255635,18030012009085,17150416,Tulare Lake Bed,18030012,Los Gatos Creek,1803001206,Lower Los Gatos Creek,180300120606,AWG,N,0,Y,N,N,Y,,,0,cnrfc,High Priority - Add Water Temperature,Model,,,,,,,POINT (-18794.149099998176 -205619.4899000004),EDA
EDB,ELDERBERRY CANYON CK,Inactive,DWR,CDEC,Inactive,Y,3585,Inactive,N,Y,3557,Inactive,N,N,0,,N,N,0,,N,1,,Stream/River - Intermittent,6.5664,0.5042106,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EDB,,18070102001002,17569915,Santa Clara,18070102,Castaic Creek,1807010203,Middle Castaic Creek,180701020305,exclude,Y,1,N,N,N,N,,,1,flood,Reactivate,,,,,,B,B,POINT (126271.61230000108 -381713.81680000015),EDB
